cell,pde,dist,setting,task,n,cocogen_a,fm4pde_a,cocogen_u,fm4pde_u,pde_residual_mse,ground_truth_residual_mse,NFE,seconds
darcy/id/full_forward,darcy,id,full_forward,forward,1000,0.0,0.28239505030259565,0.006988410493747866,0.07775503908366664,1300.6621707763672,0.9449600521922111,500,2491.3585958071053
darcy/id/full_inverse,darcy,id,full_inverse,inverse,1000,0.491599166681047,0.19048160651829874,0.0,0.00962356711838121,9.348451877593995,0.9449600521922111,500,2485.416028048843
darcy/id/sparse_forward,darcy,id,sparse_forward,forward,1000,0.5372376826376551,0.2877772114424582,0.19986911811538266,0.08279334671570819,29.638826471328734,0.9449600521922111,500,2482.369736354798
darcy/id/sparse_inverse,darcy,id,sparse_inverse,inverse,1000,0.6242992775437657,0.19880822453320066,0.20737403271324378,0.011260915007060184,32999.43540722656,0.9449600521922111,500,2482.065881345421
darcy/id/sparse_joint,darcy,id,sparse_joint,both,1000,0.5302547822544413,0.26067996009356226,0.16101747091641086,0.04150811009243177,19281.93746496582,0.9449600521922111,500,2522.7530854307115
darcy/rough/full_forward,darcy,rough,full_forward,forward,1000,0.0,0.4205166890380282,0.007411134682715628,0.12464959473409308,1261.026945678711,1.0578383113145828,500,2510.860544361174
darcy/rough/full_inverse,darcy,rough,full_inverse,inverse,1000,0.5553816444799689,0.3825735845211394,0.0,0.02355452418552376,22.732127362728118,1.0578383113145828,500,2515.5798074640334
darcy/rough/sparse_forward,darcy,rough,sparse_forward,forward,1000,0.5646164144590494,0.4250672130588762,0.17997165370455098,0.12873412026881492,28.392027152061463,1.0578383113145828,500,2515.7454638257623
darcy/rough/sparse_inverse,darcy,rough,sparse_inverse,inverse,1000,0.6269058098728624,0.38960112371333455,0.17964237389233761,0.026412117591476752,24442.22215966797,1.0578383113145828,500,2516.689394246787
darcy/rough/sparse_joint,darcy,rough,sparse_joint,both,1000,0.56147869514246,0.40913263876033273,0.14809812809898357,0.06480017433281024,16028.388068847657,1.0578383113145828,500,2515.8715683817863
darcy/smooth/full_forward,darcy,smooth,full_forward,forward,1000,0.0,0.21942237309001117,0.006958742307251039,0.056868949998185044,1296.2849245605469,0.8846468104720115,500,2513.176976762712
darcy/smooth/full_inverse,darcy,smooth,full_inverse,inverse,1000,0.46842824004468003,0.1055085536705219,0.0,0.004078147431586468,6.775964159965515,0.8846468104720115,500,2516.838368680328
darcy/smooth/sparse_forward,darcy,smooth,sparse_forward,forward,1000,0.5269621800614043,0.22675516284019648,0.20624539082582696,0.06133453124683848,30.160849577903747,0.8846468104720115,500,2517.003037210554
darcy/smooth/sparse_inverse,darcy,smooth,sparse_inverse,inverse,1000,0.623972362278583,0.11152910382795693,0.21800436143404112,0.004818760634707713,35169.68592529297,0.8846468104720115,500,2516.101298671216
darcy/smooth/sparse_joint,darcy,smooth,sparse_joint,both,1000,0.5191841699205579,0.1928339648170595,0.16573984086534843,0.029641270436435704,20028.144383911134,0.8846468104720115,500,2516.2486040219665
poisson/id/full_forward,poisson,id,full_forward,forward,1000,0.0,0.17879845447918036,0.06197034011238241,0.07988018867548542,1.7136245837584139,7.885909870768148e-11,500,2468.7281060777605
poisson/id/full_inverse,poisson,id,full_inverse,inverse,1000,0.3042058942686813,0.24548045352659556,0.0,0.025015700665608563,0.002632435588282533,7.885909870768148e-11,500,2470.145962432027
poisson/id/sparse_forward,poisson,id,sparse_forward,forward,1000,0.4496300790230334,0.1941116132972944,0.48048789947196124,0.10149484516710883,1.3676474499702453,7.885909870768148e-11,500,2463.189952388406
poisson/id/sparse_inverse,poisson,id,sparse_inverse,inverse,1000,0.7674410223772838,0.2454403333779117,0.2558912733406677,0.026026797251461724,16.16573050713539,7.885909870768148e-11,500,2464.3075438551605
poisson/id/sparse_joint,poisson,id,sparse_joint,both,1000,0.30172967056369887,0.1877736886929062,0.09266653472828602,0.056710723665147796,3.4668592097759245,7.885909870768148e-11,500,2465.556019052863
poisson/rough/full_forward,poisson,rough,full_forward,forward,1000,0.0,0.38501383611136736,0.08850159147075216,0.07946777182309726,0.7172623103111982,1.1715731590943022e-10,500,2469.3916440978646
poisson/rough/full_inverse,poisson,rough,full_inverse,inverse,1000,0.49449506734755394,0.4929257550092082,0.0,0.04688926521435944,0.020175459135323762,1.1715731590943022e-10,500,2469.3727353438735
poisson/rough/sparse_forward,poisson,rough,sparse_forward,forward,1000,0.5051255083490218,0.41403167323748785,0.5000738828093539,0.12597951900001664,1.1080735590159894,1.1715731590943022e-10,500,2491.3431779518723
poisson/rough/sparse_inverse,poisson,rough,sparse_inverse,inverse,1000,0.8047071807158731,0.494328295455744,0.2666394889043822,0.04932588830661743,24.607377035140992,1.1715731590943022e-10,500,2491.450219631195
poisson/rough/sparse_joint,poisson,rough,sparse_joint,both,1000,0.4277700031359374,0.41071559497390114,0.10252644443134445,0.08236128076764718,4.61505907201767,1.1715731590943022e-10,500,2491.9637919552624
poisson/smooth/full_forward,poisson,smooth,full_forward,forward,1000,0.0,0.19946226226127048,0.08896398126587986,0.11369321143739246,1.737293080896139,4.016413250671879e-11,500,2490.3573575615883
poisson/smooth/full_inverse,poisson,smooth,full_inverse,inverse,1000,0.349161292834832,0.24158331135099867,0.0,0.027384439146491545,0.0014925116549129598,4.016413250671879e-11,500,2490.764137096703
poisson/smooth/sparse_forward,poisson,smooth,sparse_forward,forward,1000,0.528354289237975,0.21438108416823318,0.5349839183161176,0.13781002570741566,1.3878229722976685,4.016413250671879e-11,500,2490.4571057334542
poisson/smooth/sparse_inverse,poisson,smooth,sparse_inverse,inverse,1000,0.8891760378720288,0.2413085474423667,0.2861751448293498,0.028463540197674483,10.60618183207512,4.016413250671879e-11,500,2490.679784309119
poisson/smooth/sparse_joint,poisson,smooth,sparse_joint,both,1000,0.33987389479758373,0.20372955444318322,0.1078162641565628,0.08595835572147582,3.0193175446391107,4.016413250671879e-11,500,2488.5449231490493
helmholtz/id/full_forward,helmholtz,id,full_forward,forward,1000,0.0,0.24656680320815186,0.02894731752077836,0.13752774614720908,3.684583903796971,0.004065524453049875,500,1743.4421944506466
helmholtz/id/full_inverse,helmholtz,id,full_inverse,inverse,1000,0.31218081227290784,0.23867079817983855,0.0,0.0218758100266584,0.009660386007279158,0.004065524453049875,500,1741.8403525836766
helmholtz/id/sparse_forward,helmholtz,id,sparse_forward,forward,1000,0.4561785512392279,0.2556857245907103,0.5642895902167624,0.1397463258671648,3.2226121858358385,0.004065524453049875,500,1738.6585276089609
helmholtz/id/sparse_inverse,helmholtz,id,sparse_inverse,inverse,1000,0.7964095034801321,0.24234374048163493,0.27720723104781186,0.02347622741774075,39.77437291049957,0.004065524453049875,500,1738.9959017783403
helmholtz/id/sparse_joint,helmholtz,id,sparse_joint,both,1000,0.30033506041693747,0.22848038439327836,0.09547217982013453,0.07035153014873005,7.469355865478516,0.004065524453049875,500,1741.1865723878145
helmholtz/rough/full_forward,helmholtz,rough,full_forward,forward,1000,0.0,0.4620644335437849,0.08139507929893545,0.14316458303362561,1.9451577860116958,0.006084183551487513,500,1739.1662038750947
helmholtz/rough/full_inverse,helmholtz,rough,full_inverse,inverse,1000,0.50845935989438,0.5003147359426684,0.0,0.045210943502975214,0.04759662273153663,0.006084183551487513,500,1739.2160203233361
helmholtz/rough/sparse_forward,helmholtz,rough,sparse_forward,forward,1000,0.5093195725153945,0.47962480211293634,0.5547049175367786,0.17059872476915636,2.35002263584733,0.006084183551487513,500,1739.350742854178
helmholtz/rough/sparse_inverse,helmholtz,rough,sparse_inverse,inverse,1000,0.82353863500056,0.5292683489411282,0.28086664264204564,0.058773771089945345,57.93978416633606,0.006084183551487513,500,1741.1035026349127
helmholtz/rough/sparse_joint,helmholtz,rough,sparse_joint,both,1000,0.43072139458687214,0.45596494013504285,0.10409537766242988,0.09231860684237096,10.414122198581696,0.006084183551487513,500,1738.4721010029316
helmholtz/smooth/full_forward,helmholtz,smooth,full_forward,forward,1000,0.0,0.2761933051577205,0.03827829439228367,0.18600274685164903,3.7318423862159253,0.002058457061619265,500,1740.7977588623762
helmholtz/smooth/full_inverse,helmholtz,smooth,full_inverse,inverse,1000,0.36534894290118103,0.23261876683203217,0.0,0.023285064288013562,0.005367973052896559,0.002058457061619265,500,1744.6847767345607
helmholtz/smooth/sparse_forward,helmholtz,smooth,sparse_forward,forward,1000,0.5504690666344687,0.282048320305311,0.6741072123452956,0.17372784898227567,3.4408463043570516,0.002058457061619265,500,1737.495152335614
helmholtz/smooth/sparse_inverse,helmholtz,smooth,sparse_inverse,inverse,1000,0.9435327964225821,0.23289926784226417,0.318407039428492,0.02438849521378931,27.010131031036376,0.002058457061619265,500,1737.4667476788163
helmholtz/smooth/sparse_joint,helmholtz,smooth,sparse_joint,both,1000,0.35591800980636684,0.24568987621521024,0.11535725787833656,0.09372814106613678,6.459784019947052,0.002058457061619265,500,1761.6059005148709
nsnonbounded/id/full_forward,nsnonbounded,id,full_forward,forward,1000,0.0,0.18700683824620953,0.025824625027472427,0.09706059514167815,0.0033983453197870403,0.009608825769275426,500,2505.3430848270655
nsnonbounded/id/full_inverse,nsnonbounded,id,full_inverse,inverse,1000,0.12066384362384884,0.11911310136720832,0.0,0.02024690408195856,0.1818774663358927,0.009608825769275426,500,2503.9981795474887
nsnonbounded/id/sparse_forward,nsnonbounded,id,sparse_forward,forward,1000,0.6306775859786896,0.2082617073030392,0.5657184261554902,0.11430857376467472,0.6440513340383768,0.009608825769275426,500,2505.190384402871
nsnonbounded/id/sparse_inverse,nsnonbounded,id,sparse_inverse,inverse,1000,0.7482590151804566,0.12680069139032427,0.5879894951350982,0.025928546885366378,2.7959340161681174,0.009608825769275426,500,2505.5731839612126
nsnonbounded/id/sparse_joint,nsnonbounded,id,sparse_joint,both,1000,0.38995323546452154,0.17886761991633032,0.2843976826369116,0.0824121880493011,0.8695971860438585,0.009608825769275426,500,2503.967448771
nsnonbounded/rough/full_forward,nsnonbounded,rough,full_forward,forward,1000,0.0,0.42449917099616463,0.15832235612418116,0.12820199157624326,10.984383769989014,12.099683464050292,500,2509.217625427991
nsnonbounded/rough/full_inverse,nsnonbounded,rough,full_inverse,inverse,1000,0.4028868162321939,0.40062971989655377,0.0,0.04297065229169378,0.1382750404626131,12.099683464050292,500,2507.8908550255
nsnonbounded/rough/sparse_forward,nsnonbounded,rough,sparse_forward,forward,1000,0.6283284469221369,0.4626445506047259,0.5625458536545372,0.19504127333918217,3.279654408812523,12.099683464050292,500,2535.38258478418
nsnonbounded/rough/sparse_inverse,nsnonbounded,rough,sparse_inverse,inverse,1000,0.7665114398879507,0.4090630030576825,0.5782302675084783,0.05673014179102536,6.618778116703034,12.099683464050292,500,2535.852694697678
nsnonbounded/rough/sparse_joint,nsnonbounded,rough,sparse_joint,both,1000,0.503291037751048,0.4375649349257001,0.30421270777481646,0.1407843317096921,4.338437171936035,12.099683464050292,500,2536.2641508877277
nsnonbounded/smooth/full_forward,nsnonbounded,smooth,full_forward,forward,1000,0.0,0.19705534774838476,0.0209885485834356,0.10768105840994917,0.0005062188133015298,0.00023910737344704102,500,2534.6389577798545
nsnonbounded/smooth/full_inverse,nsnonbounded,smooth,full_inverse,inverse,1000,0.11725417834948489,0.1076912885844517,0.0,0.020807708888829792,0.1902908331900835,0.00023910737344704102,500,2534.7448977790773
nsnonbounded/smooth/sparse_forward,nsnonbounded,smooth,sparse_forward,forward,1000,0.7221005176165518,0.21420934450667647,0.5955982357378603,0.11994004259579057,0.45073910200595857,0.00023910737344704102,500,2533.1531880497932
nsnonbounded/smooth/sparse_inverse,nsnonbounded,smooth,sparse_inverse,inverse,1000,0.8384870224577647,0.11486089698361622,0.6153639318240716,0.025656490589404328,1.982434880286455,0.00023910737344704102,500,2534.285785086453
nsnonbounded/smooth/sparse_joint,nsnonbounded,smooth,sparse_joint,both,1000,0.4396193884327038,0.18036013847889565,0.29915952299528964,0.08747093610233884,0.5823937339559198,0.00023910737344704102,500,2535.1557903960347
